Ticker,NPM_Y,GPM_X1,OPM_X2,EBITDA_M_X3,ROA_X5,ROE_X6,CurrRatio_X7,QuickRatio_X8,CashPS_X10,LogOpCashFlow_X11,FCF_PS_X12,DER_X13,PER_X16,PBV_X17,PSR_X18,FirmSize_X19,RevGrowth_X20
TGKA,0.03007,0.09272,0.019809999,0.033269998,0.054569997,0.16861,2.038,1.278,533.7088592172603,26.812485314693607,149.54602889564947,8.413,11.844211,2.0654154,0.35572362,29.1474055867974,0.058
DMMX,0.0313,0.11695,0.06705,0.1003,0.02395,0.03698,2.731,1.566,24.115551662751944,24.711847048031515,2.7245975323259306,2.664,81.23077,2.9589114,2.5363417,28.281516960409483,-0.417
RISE,0.14632,0.45078,0.14438,0.27231002,0.013200001,0.02247,2.445,0.693,24.945189720593135,24.67147497925898,11.777388967441633,22.535,115.90186012499998,32.193764,76.3275764,31.869898944487268,-0.045
BUVA,0.27645,0.61822,0.30214,0.33041,0.028169999,0.08522,1.242,1.156,5.02363592746824,25.496041269411627,1.3405440974119278,32.967,115.90186012499998,14.923051,69.85366,30.88800133709893,0.072
ASGR,0.07748,0.21719,0.10585,0.13422,0.05249,0.12087,2.832,2.558,533.7088592172603,26.920672862897728,149.54602889564947,1.051,9.102388,1.1678252,0.7681706,28.478343435573198,-0.019
TIFA,0.39859498125,0.8970836937500001,0.46311375624999995,0.0,0.03354,0.04946,2.929,2.923,43.85789613404376,23.42145192707641,0.0,45.072,23.289316,1.1532928,9.6433115,27.95184196980954,0.244
PGUN,0.18247,0.33481997,0.19374001,0.46315,0.062459998,0.092,1.517,0.338,0.3161838307891497,26.364990804499744,29.22195339894628,21.008,115.90186012499998,25.622568,54.24195,31.50633719120253,0.182
LIFE,0.06508,0.24007,0.10561,0.07439,0.012669999,0.03431,6.9083749999999995,4.698624999999999,533.7088592172603,26.314025196094537,46.87339129904762,0.006,58.0895,1.8419596,3.661277,30.37781116023795,0.203
MNCN,0.11512999,0.48813,0.11975,0.27644,0.034590002,0.04211,6.9083749999999995,4.698624999999999,104.77093114258042,26.97950135598632,14.873939940875491,6.286,3.4628253,0.14134477,0.3986862,28.77780893212902,0.1
BEEF,0.02221,0.06032,0.02898,0.040599998,0.09167,0.37747999925,1.117,0.61,1.1139725835801828,26.202009350203905,-64.98437979861713,134.96012499999998,13.636363,5.956141,0.29350415,28.39357582029076,0.219
KIJA,0.03113,0.40805,0.22981001,0.32656,0.06205,0.08234,5.986,2.065,533.7088592172603,28.410015186959257,149.54602889564947,58.636,26.657646,0.66625404,0.83001906,29.030413716659535,-0.063
TLKM,0.14765,0.58676,0.25212,0.41769,0.083129995,0.18306999,0.772,0.666,333.6690843270881,31.809247143722907,149.54602889564947,50.111,15.951144,2.5281765,2.3527825,33.065000686965256,-0.009
ASSA,0.06627,0.33785,0.19563,0.31274,0.07628,0.185,1.132,1.03,310.32705489959125,27.48022279474913,149.54602889564947,134.726,10.697268,1.8510914,0.7087008,29.03226594983964,0.24
LSIP,0.34333,0.43464002,0.32139,0.46153,0.09846,0.1521,6.9083749999999995,4.698624999999999,292.3162048537305,28.654113581548756,114.2295824948688,0.013,4.059564,0.58441,1.3956712,29.68627993827075,0.456
STAA,0.18971,0.35077,0.25634,0.32259998,0.16562749999999998,0.31083,2.47,1.228,146.61106137966888,27.943929358912367,90.05074985624172,25.739,8.031192,2.1676404,1.5310833,30.206572835093016,0.5878749999999999
AMRT,0.02461,0.21529,0.01894,0.04682,0.06329,0.17877,1.037,0.361,91.4674162122456,29.611990144372808,77.6429152402809,10.566,23.373983,4.1479807,0.5754048,31.90253188649632,0.057
ERAA,0.014880001,0.110419996,0.02369,0.03566,0.046830002,0.121070005,1.169,0.231,114.7410874910141,28.45533868538436,51.17235648256615,92.635,6.0252075,0.71248376,0.08962137,29.453491770678205,0.118
BULL,0.096190006,0.29955998,0.16919,0.37012002,0.06532,0.08422,1.021,0.681,0.0019129633931569,19.165081778375473,0.0005293980810961,57.796,27.722773,34.896095887499996,76.3275764,29.504001591948228,0.51
TRIM,0.37245998,0.8970836937500001,0.46311375624999995,0.0,0.09403,0.29813,1.986,1.966,533.7088592172603,28.04971845668192,0.0,134.96012499999998,9.1729555,2.3787324,3.4160352,29.114389166032336,0.5878749999999999
